name,amount
TV Other,38
Ky Humane Society,1155
Radio Other,4
Petsmart Outerloop,21
TNR,28
TV Metro,2
TV Whas,32
Foster,151
Barkstown,1
Enroute to Shelter,58
Internet,165
Animal Control,12
Rescue Group,2281
EMPTY,3479
TV Wlky,18
Requested,1310
Petsmart Hurstborne,264
Web PF,490
Exchange,26
Pregnant,21
Time and Space,1064
Web Metro,51
Friend,471
At Vet,8
Facebook,24
In Surgery,83
Heartworm,1
WEB,1
Wildlife,56
Breed,138
Refferal,122
Web Pet Harbor,4
Medical,4690
In Kennel,108
Petsmart West,3
In field,139
RADIO WDJX,1
Behavior,1617
Walk In,1261
Promotion,318
3rd Party,53
at Foster,161
Newsletter,11
Event,33
Rescue Waggin,95
