name,amount
40224,152
40159,1
14850,1
10299,1
40220,233
40223,203
40222,117
54452,23
40150,5
40229,328
40228,99
41017,1
41016,1
47122,6
47164,1
47126,6
47124,5
14075,1
40342,6
47129,31
33809,1
33884,7
60056,1
12454,3
2740,4
80439,1
40059,84
10508,1
42104,1
14779,24
40769,1
40003,2
42765,1
44266,1
40004,18
40256,2
40006,3
40258,202
40008,2
45242,1
63764,1
63959,1
45157,9
41008,3
60563,1
40232,1
41219,1
42240,2
45231,12
47231,2
55428,68
45223,1
45230,3
40422,1
30905,1
47138,2
85087,1
28334,1
47135,7
47136,6
47137,1
47130,45
40383,1
4096,1
41094,3
41097,1
14472,8
35031,1
42368,1
97229,1
11105,1
30316,1
40013,3
40011,3
42757,1
12518,1
40014,37
40107,2
40935,1
43054,2
37803,1
55033,3
40203,124
40202,11
45219,1
62918,1
40207,158
40206,284
40205,549
40204,198
45213,1
45212,2
40209,6
40208,180
47542,1
45305,1
52803,1
40356,36
46615,4
47141,1
47140,1
47143,3
33040,1
42304,6
37849,1
EMPTY,9865
78616,2
38372,1
21740,1
60126,1
55419,2
60629,2
38401,19
90046,1
42420,1
42351,1
40146,2
47185,2
42748,6
42103,7
40142,3
42101,1
55379,263
40026,24
76068,1
25425,1
40023,17
40216,384
42210,2
42211,1
60120,1
40046,5
40218,289
40219,268
40601,5
40214,1311
40215,631
40047,63
40217,169
40210,85
40211,147
40212,121
40213,141
47302,115
54724,1
44133,1
47150,40
46545,27
21207,1
40324,1
42021,1
44255,24
41018,2
47220,2
5401,1
30152,1
19047,3
47404,1
98023,1
61832,1
60631,2
42431,1
53144,3
40243,55
37129,2
41031,2
55363,38
40031,143
36521,2
47520,5
93744,2
40037,3
47167,1
40268,4
47165,3
41056,1
47163,2
47162,25
47161,3
21230,30
40056,3
45177,2
40591,11
40055,8
46254,1
90804,1
40511,1
47304,2
40517,1
40515,3
40257,1
43235,1
60011,1
43231,1
40177,1
46061,6
37412,1
60008,31
40291,283
45211,2
47803,1
43138,1
47142,1
39475,1
40299,452
46368,1
47250,12
16652,2
40121,20
40127,1
45202,1
46410,3
97215,4
40129,2
43035,1
45040,1
42724,1
45692,1
47172,13
40068,4
41042,1
57069,1
42348,1
30319,1
40272,405
40360,1
40379,1
30135,2
40067,6
40065,58
37205,1
40508,2
48042,1
40504,3
40505,1
78746,1
4435,2
7843,3
40503,3
42716,1
49236,1
47629,1
18503,1
42003,2
42718,2
47408,1
47243,1
18510,1
32159,1
1748,3
40119,1
40118,96
40117,2
38120,1
21005,1
55417,1
60033,4
41072,1
41071,1
40475,1
41075,1
40175,17
46365,1
40176,1
40057,2
40252,5
19320,3
55343,7
47106,5
47101,1
27021,1
13077,1
21770,1
42729,1
46962,4
53718,1
42701,19
42702,1
37174,1
37172,1
55321,10
40075,2
45419,1
14004,1
40108,5
40109,16
47577,1
37069,6
40744,1
19426,4
13104,22
1118,1
47274,1
40104,3
60618,17
40242,50
47720,1
55443,16
40484,1
46180,1
40165,142
40162,2
47210,1
40160,27
60048,1
47117,3
47114,1
11552,20
47112,7
44308,5
21158,2
47111,11
48726,1
41005,1
22948,11
24482,1
47118,2
47119,8
37840,1
80916,1
46260,2
42303,2
36272,1
46055,1
40246,1
40245,122
40077,10
40070,1
40071,33
40241,107
38341,1
3224,1
45255,3
55316,6
11946,3
