name,amount
151,2
150,2
153,2
152,2
155,2
213,1
156,1
195,1
67,1
176,1
203,1
115,1
61,1
88,1
130,2
111,4
136,4
179,1
112,2
82,1
83,3
139,1
138,1
119,1
102,2
84,1
85,1
171,1
92,1
86,3
45,1
109,3
182,1
183,2
181,1
116,4
79,3
96,2
87,2
147,2
144,1
145,1
142,1
97,1
140,2
141,2
149,1
99,1
121,1
122,1
123,2
124,1
71,1
70,1
91,2
165,1
100,1
101,2
160,1
107,4
104,2
105,1
161,1
80,1
114,1
135,1
53,1
108,2
35,1
131,1
89,2
106,1
94,1
75,1
137,2
103,3
126,3
164,1
90,4
