name,amount
216,1
214,1
210,1
219,1
131,1
130,1
136,1
134,1
139,1
138,1
93,1
25,1
86,1
27,1
20,1
21,1
22,1
23,1
28,1
29,1
4,1
8,1
122,1
123,1
127,1
129,1
59,1
58,1
55,1
54,1
57,1
56,1
51,1
50,1
53,1
52,1
90,1
190,1
117,1
89,1
82,1
83,1
80,1
81,1
119,1
87,1
84,1
85,1
3,1
7,1
448,1
26,1
243,1
102,1
100,1
101,1
106,1
105,1
39,1
38,1
33,1
32,1
31,1
30,1
37,1
35,1
34,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
174,1
182,1
186,1
187,1
6,1
188,1
99,1
98,1
168,1
226,1
225,1
92,1
95,1
94,1
97,1
96,1
11,1
10,1
13,1
12,1
15,1
14,1
17,1
16,1
18,1
155,1
550,1
48,1
49,1
46,1
47,1
44,1
45,1
42,1
43,1
40,1
41,1
1,1
5,1
9,1
140,1
76,1
75,1
74,1
73,1
72,1
71,1
70,1
79,1
78,1
