name,amount
217,1
768,1
2960,1
1302,1
1200,1
621,1
1265,1
4990,1
690,1
2320,1
624,1
540,1
541,1
1375,1
401,1
545,1
2015,1
280,1
815,1
816,1
992,1
674,1
677,1
710,1
1490,1
55,1
929,1
827,1
1750,1
1415,1
590,1
592,1
3775,1
1120,1
986,1
618,1
272,1
274,1
275,1
277,1
398,1
836,1
1715,1
10600,1
301,1
2260,1
422,1
1010,1
1391,1
2265,1
587,1
585,2
583,1
2050,1
442,2
441,1
245,1
243,1
248,1
1845,1
848,1
640,1
645,1
436,1
433,1
2725,1
1225,1
2610,1
3805,1
453,1
1345,1
318,1
254,1
855,1
4060,1
857,1
1373,1
656,1
730,1
733,1
655,1
1030,1
1036,1
755,1
560,1
564,1
566,1
701,1
1675,1
1625,1
860,1
968,1
864,1
720,2
361,1
604,1
884,1
550,1
3060,1
4610,1
236,1
232,1
81,1
878,1
1190,1
870,1
1115,1
1296,1
1295,1
1175,1
1360,1
2615,1
615,1
488,1
487,1
686,1
2335,1
2235,1
476,1
474,1
684,1
687,1
800,1
2535,1
