name,amount
217,1
214,1
211,1
219,1
132,1
136,2
134,2
139,2
138,1
94,1
227,1
121,4
122,1
124,2
125,2
127,1
128,4
129,1
198,1
197,2
196,1
191,1
115,2
88,1
116,5
111,3
110,1
113,1
142,1
119,2
87,1
207,3
141,2
108,1
242,2
101,1
107,1
104,1
105,2
62,1
89,1
178,1
177,2
176,1
174,1
256,1
171,1
182,1
183,2
180,1
184,1
188,1
99,1
98,1
169,3
228,1
91,1
165,1
225,2
167,1
222,1
97,1
163,1
273,1
151,1
153,3
152,1
155,1
159,2
158,2
239,2
234,1
230,1
231,2
48,1
44,1
118,1
201,1
147,1
202,2
205,1
143,1
140,1
206,1
209,1
148,2
149,2
77,1
