name,amount
31.9288158795,1
20.7392197125,2
38.8802190281,2
30.6721423682,1
21.6536618754,1
33.0513347023,1
22.5872689938,2
30.0041067762,1
32.7474332649,2
34.6173853525,1
22.302532512,1
29.2977412731,6
30.6529774127,3
25.8945927447,2
30.2012320329,1
29.1882272416,2
31.3730321697,1
31.6194387406,4
21.9274469541,1
27.1074606434,1
25.4154688569,5
34.688569473,2
32.8021902806,1
30.6475017112,3
29.325119781,1
34.1683778234,1
22.7515400411,1
26.4859685147,4
30.045174538,1
36.0711841205,2
25.6563997262,2
31.356605065,1
33.9000684463,3
25.9356605065,3
24.3668720055,3
29.5468856947,2
32.3285420945,4
26.5133470226,3
29.311430527,2
28.5037645448,1
20.2381930185,2
26.6694045175,4
32.5804243669,1
27.7262149213,1
22.7214236824,3
36.4380561259,7
33.9876796715,1
28.5886379192,1
23.0198494182,5
24.5174537988,1
30.1382614648,1
18.7542778919,1
27.6878850103,1
29.9958932238,2
22.6830937714,1
28.7967145791,1
25.4127310062,1
19.0663928816,1
21.659137577,5
30.2751540041,1
32.038329911,1
31.5783709788,2
25.6919917864,2
