name,amount
111456,1
105676,1
111575,1
106044,2
104607,4
106378,5
133430,1
111202,5
104542,2
104919,1
104745,4
105074,1
106401,3
105023,1
104312,3
103819,7
105041,1
105357,1
104180,2
132283,1
106421,1
105807,3
103898,2
104655,1
134770,1
104291,1
105376,1
105216,1
104797,1
105311,1
105238,2
104792,1
105077,2
104678,1
105526,1
104571,1
106210,1
104755,2
109739,2
105992,2
104527,1
105539,1
105916,3
106000,2
126094,2
104926,3
106233,3
104198,1
105815,4
104468,1
105932,2
106045,1
105777,4
106043,3
106415,1
105065,1
105227,6
104925,3
104269,1
105223,2
103333,2
100644,2
105051,1
105173,2
