name,amount
Tomas Berdych,4
Sam Querrey,1
Grigor Dimitrov,4
Pablo Cuevas,1
Diego Sebastian Schwartzman,3
Joao Sousa,1
Gael Monfils,1
Andrey Rublev,2
Malek Jaziri,1
Pablo Carreno Busta,3
Peter Gojowczyk,1
Alexander Zverev,2
Kyle Edmund,5
Ryan Harrison,2
Stanislas Wawrinka,1
Nikoloz Basilashvili,2
Fabio Fognini,3
Damir Dzumhur,2
Andreas Seppi,3
David Goffin,1
Marin Cilic,6
Casper Ruud,1
Gilles Muller,2
Matthew Ebden,1
Maximilian Marterer,2
Marcos Baghdatis,1
John Millman,1
Marton Fucsovics,3
Tim Smyczek,1
Lukas Lacko,1
Roger Federer,7
Julien Benneteau,2
Gilles Simon,1
Alexandr Dolgopolov,2
Albert Ramos,2
Yuichi Sugita,1
Juan Martin Del Potro,2
Tennys Sandgren,4
Jiri Vesely,1
Viktor Troicki,1
Guillermo Garcia Lopez,1
Lorenzo Sonego,1
Richard Gasquet,2
Hyeon Chung,5
Rafael Nadal,4
Adrian Mannarino,2
Nicolas Kicker,2
Ruben Bemelmans,1
Fernando Verdasco,1
Denis Shapovalov,1
Mackenzie Mcdonald,1
Karen Khachanov,1
Novak Djokovic,3
Dominic Thiem,3
Jan Lennard Struff,1
Denis Kudla,1
Leonardo Mayer,1
Nick Kyrgios,3
Denis Istomin,1
Yoshihito Nishioka,1
Evgeny Donskoy,1
Jo Wilfried Tsonga,2
Daniil Medvedev,1
Ivo Karlovic,2
